Time_step,Message_type,Received_From,Position
92,a,0,6.49,-7.596
94,b,0,6.49,-7.596
102,a,0,6.344,-7.459
112,a,0,6.199,-7.322
122,a,0,6.053,-7.184
132,a,0,5.908,-7.047
142,a,0,5.765,-6.907
152,a,0,5.625,-6.764
162,a,0,5.484,-6.622
172,a,0,5.344,-6.48
182,a,0,5.203,-6.337
192,a,0,5.065,-6.193
202,a,0,4.93,-6.046
212,a,0,4.794,-5.899
222,a,0,4.658,-5.752
232,a,0,4.522,-5.605
242,a,0,4.386,-5.459
253,a,0,4.25,-5.312
262,a,0,4.115,-5.165
272,a,0,3.979,-5.018
282,a,0,3.843,-4.872
292,a,0,3.707,-4.725
303,a,0,3.571,-4.578
312,a,0,3.435,-4.431
322,a,0,3.299,-4.285
332,a,0,3.164,-4.138
342,a,0,3.028,-3.991
352,a,0,2.892,-3.844
1792,a,2,-1.314,1.042
1794,b,2,-1.314,1.042
1802,a,2,-1.171,0.903
1812,a,2,-1.027,0.763
1822,a,2,-0.884,0.624
1832,a,2,-0.741,0.484
1842,a,2,-0.597,0.345
1852,a,2,-0.454,0.205
1862,a,2,-0.337,0.044
1872,a,2,-0.326,0.008
1882,a,2,-0.166,-0.009
1892,a,2,-0.024,-0.144
1902,a,2,0.109,-0.292
1912,a,2,0.256,-0.427
1922,a,2,0.398,-0.569
1932,a,2,0.541,-0.708
1942,a,2,0.684,-0.848
1963,a,2,0.969,-1.128
1973,a,2,1.112,-1.268
1983,a,2,1.255,-1.408
1992,a,2,1.398,-1.548
3072,a,1,1.317,-1.03
3074,b,1,1.317,-1.03
3082,a,1,1.163,-0.903
3092,a,1,1.011,-0.773
3102,a,1,0.864,-0.638
3112,a,1,0.721,-0.498
3122,a,1,0.578,-0.358
3133,a,1,0.488,-0.188
3143,a,1,0.558,-0.004
3152,a,1,0.671,0.159
3162,a,1,0.765,0.336
3172,a,1,0.866,0.508
3182,a,1,0.965,0.682
3192,a,1,1.065,0.855
3202,a,1,1.163,1.03
3212,a,1,1.217,1.221
3222,a,1,1.309,1.398
3233,a,1,1.411,1.569
3243,a,1,1.501,1.748
3252,a,1,1.554,1.94
3262,a,1,1.64,2.12
3273,a,1,1.736,2.295
3274,a,0,1.736,2.295
3277,b,0,1.758,2.392
3282,a,0,1.759,2.492
3282,a,1,1.759,2.492
3292,a,0,1.823,2.679
3292,a,1,1.823,2.679
3302,a,0,1.916,2.856
3302,a,1,1.916,2.856
3312,a,0,1.929,3.052
3322,a,0,1.92,3.247
3322,a,1,1.92,3.247
3332,a,0,1.927,3.44
3343,a,0,1.806,3.598
3353,a,0,1.703,3.767
3362,a,0,1.641,3.957
3373,a,0,1.583,4.091
3382,a,0,1.581,4.097
3392,a,0,1.539,4.051
3402,a,0,1.449,4.035
3412,a,0,1.285,4.146
3422,a,0,1.103,4.23
3432,a,0,0.921,4.313
3442,a,0,0.741,4.4
3452,a,0,0.56,4.485
3462,a,0,0.379,4.57
3472,a,0,0.198,4.656
3492,a,0,-0.162,4.827
3502,a,0,-0.343,4.912
3512,a,0,-0.524,4.998
3522,a,0,-0.705,5.083
